gene,arabi-defline
Vigun03g085800,RmlC-like cupins superfamily protein
Vigun05g067700,no annotation
Vigun03g039200,Disease resistance-responsive (dirigent-like protein) family protein
Vigun09g022300,no annotation
Vigun03g408100,squamosa promoter binding protein-like 1
Vigun01g010200,Major facilitator superfamily protein
Vigun09g093800,no annotation
Vigun09g064900,Transmembrane amino acid transporter family protein
Vigun05g148700,UDP-Glycosyltransferase superfamily protein
Vigun11g119900,alpha/beta-Hydrolases superfamily protein
Vigun01g241200,sulfur E2
Vigun03g129500,EXORDIUM like 2
Vigun09g164900,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
Vigun07g202000,plasma membrane intrinsic protein 2
Vigun11g024100,zinc induced facilitator-like 1
Vigun09g193700,casein kinase I-like 4
Vigun07g246900,cysteine-rich RLK (RECEPTOR-like protein kinase) 26
Vigun01g234000,no annotation
Vigun05g061900,Pectin lyase-like superfamily protein
Vigun08g009700,"cytochrome P450, family 83, subfamily B, polypeptide 1"
Vigun03g264600,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun08g053300,Protein kinase superfamily protein
Vigun01g037600,NAD(P)-binding Rossmann-fold superfamily protein
Vigun03g198700,glutathione S-transferase TAU 8
Vigun11g056700,Galactosyltransferase family protein
Vigun06g193000,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun08g165600,sorting nexin 2A
Vigun06g033600,myb-like HTH transcriptional regulator family protein
Vigun05g033100,HXXXD-type acyl-transferase family protein
Vigun05g185000,D-mannose binding lectin protein with Apple-like carbohydrate-binding domain
Vigun03g421100,multifunctional protein 2
Vigun07g230700,TCP family transcription factor 
Vigun02g160700,TIFY domain/Divergent CCT motif family protein
Vigun05g245100,AMP-dependent synthetase and ligase family protein
Vigun04g029400,no annotation
Vigun11g213400,pheophytinase
Vigun04g066400,disease resistance family protein / LRR family protein
Vigun03g049500,SAUR-like auxin-responsive protein family 
Vigun04g054900,UDP-glycosyltransferase 74 F1
Vigun01g225100,HXXXD-type acyl-transferase family protein
Vigun09g239800,alpha/beta-Hydrolases superfamily protein
Vigun04g026300,no annotation
Vigun07g126400,Protein kinase superfamily protein
Vigun06g125200,defective in meristem silencing 3
Vigun05g070900,Small nuclear ribonucleoprotein family protein
Vigun11g199000,Transmembrane amino acid transporter family protein
Vigun10g020400,NAC domain containing protein 62
Vigun03g070700,stress enhanced protein 2
Vigun09g219400,Protein of unknown function (DUF1677)
Vigun09g111200,TUDOR-SN protein 1
Vigun11g007700,annexin 8
Vigun08g183100,Aldolase superfamily protein
Vigun10g065100,cystatin B
Vigun07g243200,Protein of unknown function (DUF3049)
Vigun05g028300,Thioredoxin superfamily protein
Vigun06g103300,mevalonate kinase
Vigun09g117900,bidirectional amino acid transporter 1
Vigun11g158800,NAD(P)-binding Rossmann-fold superfamily protein
Vigun07g271200,Glycolipid transfer protein (GLTP) family protein
Vigun01g186600,no annotation
Vigun11g158400,NAD(P)-binding Rossmann-fold superfamily protein
Vigun04g062400,Malectin/receptor-like protein kinase family protein
Vigun07g111800,Eukaryotic aspartyl protease family protein
Vigun02g202100,vaculolar sorting receptor 3
Vigun03g101400,acyl-activating enzyme 18
Vigun03g427800,inosine-uridine preferring nucleoside hydrolase family protein
Vigun07g264800,bidirectional amino acid transporter 1
Vigun11g067500,Auxin-responsive GH3 family protein
Vigun11g073600,terpene synthase 21
Vigun01g223700,ARM repeat superfamily protein
Vigun09g200100,FAD-dependent oxidoreductase family protein
Vigun07g131600,Chitinase family protein
Vigun08g120400,fatty acid desaturase 8
Vigun06g136000,FAD-binding Berberine family protein
Vigun02g109500,TBP-associated factor 7
Vigun06g027000,CBL-interacting protein kinase 3
Vigun09g032200,Eukaryotic protein of unknown function (DUF872)
Vigun11g214400,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun01g207200,ATP-citrate lyase A-3
Vigun03g134800,no annotation
Vigun06g012800,no annotation
Vigun09g245200,Protein of unknown function (DUF1195)
Vigun09g011600,no annotation
Vigun03g075000,"Lipase/lipooxygenase, PLAT/LH2 family protein"
Vigun04g150300,SCARECROW-like 8
Vigun02g042300,Major facilitator superfamily protein
Vigun09g266700,no annotation
Vigun03g222200,low-molecular-weight cysteine-rich 69
Vigun05g105500,Protein of unknown function (DUF740)
Vigun07g130000,RAD-like 6
Vigun02g162200,alpha/beta-Hydrolases superfamily protein
Vigun07g175000,"Serine protease inhibitor, potato inhibitor I-type family protein"
Vigun08g048500,Protein kinase superfamily protein
Vigun03g233900,nitrate transporter2.5
Vigun09g200200,WRKY DNA-binding protein 11
Vigun10g049400,branched-chain alpha-keto acid decarboxylase E1 beta subunit
Vigun09g242200,"cytochrome P450, family 82, subfamily C, polypeptide 4"
Vigun03g381400,Uncharacterised protein family (UPF0497)
Vigun05g073200,peptidoglycan-binding LysM domain-containing protein
Vigun08g156900,HXXXD-type acyl-transferase family protein
Vigun10g185900,Galactose oxidase/kelch repeat superfamily protein
Vigun04g094100,cationic amino acid transporter 2
Vigun05g076500,no annotation
Vigun02g097700,NB-ARC domain-containing disease resistance protein
Vigun03g034300,3-ketoacyl-acyl carrier protein synthase I
Vigun02g155000,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun06g004600,VQ motif-containing protein
Vigun05g190500,Serine/threonine-protein kinase WNK (With No Lysine)-related
Vigun03g075400,ARM-repeat/Tetratricopeptide repeat (TPR)-like protein
Vigun08g078700,ubiquitin-specific protease 12
Vigun01g056200,Plant protein of unknown function (DUF946)
Vigun03g225300,Basic helix-loop-helix (bHLH) DNA-binding family protein
Vigun08g103000,Protein kinase superfamily protein
Vigun02g013300,Protein of unknown function (DUF1645)
Vigun02g009600,no annotation
Vigun01g191900,NAD(P)-binding Rossmann-fold superfamily protein
Vigun10g129000,Acyl-CoA thioesterase family protein
Vigun03g396100,ELF4-like 4
Vigun02g158200,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Vigun04g070000,no annotation
Vigun08g020900,Protein of unknown function (DUF1645)
Vigun11g136700,AMP-dependent synthetase and ligase family protein
Vigun11g099800,no annotation
Vigun09g004200,O-methyltransferase 1
Vigun10g195700,WRKY DNA-binding protein 40
Vigun01g179100,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Vigun08g001700,OPC-8:0 CoA ligase1
Vigun06g042900,no annotation
Vigun03g060200,aldehyde dehydrogenase 3I1
Vigun05g108800,Werner syndrome-like exonuclease
Vigun02g018300,Sec14p-like phosphatidylinositol transfer family protein
Vigun10g161900,jasmonate-zim-domain protein 6
Vigun08g174100,Major facilitator superfamily protein
Vigun06g078100,mitogen-activated protein kinase kinase kinase 14
Vigun03g358400,WUS-interacting protein 2
Vigun08g189700,Homeodomain-like superfamily protein
Vigun04g059600,UDP-Glycosyltransferase superfamily protein
Vigun10g182500,AMP-dependent synthetase and ligase family protein
Vigun01g007900,Leucine-rich repeat (LRR) family protein
Vigun07g225300,"cytochrome P450, family 715, subfamily A, polypeptide 1"
Vigun03g013500,jasmonate-zim-domain protein 3
Vigun08g149600,no annotation
Vigun03g113600,no annotation
Vigun07g128700,Pectin lyase-like superfamily protein
Vigun09g079300,Nodulin-like / Major Facilitator Superfamily protein
Vigun03g376900,no annotation
Vigun07g171200,Eukaryotic aspartyl protease family protein
Vigun04g202100,MATE efflux family protein
Vigun10g163400,lipoxygenase 3
Vigun04g081200,chloride channel B
Vigun01g093200,Sodium/calcium exchanger family protein
Vigun05g148900,UDP-Glycosyltransferase superfamily protein
Vigun04g027700,no annotation
Vigun07g242600,alpha/beta-Hydrolases superfamily protein
Vigun07g145700,indeterminate(ID)-domain 2
Vigun11g173600,polyol/monosaccharide transporter 5
Vigun07g260600,no annotation
Vigun07g131700,indole-3-acetic acid inducible 30
Vigun09g045200,CBL-interacting protein kinase 1
Vigun01g229200,RING/U-box superfamily protein
Vigun06g109400,HXXXD-type acyl-transferase family protein
Vigun01g050300,glutathione S-transferase TAU 19
Vigun03g016800,myb domain protein 116
Vigun11g124300,NAD(P)-binding Rossmann-fold superfamily protein
Vigun08g105000,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun11g052100,Tyrosine transaminase family protein
Vigun03g094400,receptor-like kinase in flowers 1
Vigun07g264900,bidirectional amino acid transporter 1
Vigun06g143600,SBP (S-ribonuclease binding protein) family protein
Vigun10g018200,UDP-Glycosyltransferase superfamily protein
Vigun04g039000,glutamate decarboxylase 5
Vigun02g012200,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun05g089400,Peroxidase superfamily protein
Vigun03g240700,peptidase M20/M25/M40 family protein
Vigun09g233700,RNA polymerase Rpb8
Vigun05g258800,expansin A4
Vigun06g125100,Eukaryotic aspartyl protease family protein
Vigun03g214100,thioredoxin 2
Vigun10g079100,Mitochondrial substrate carrier family protein
Vigun09g087800,tryptophan biosynthesis 1
Vigun08g098500,related to AP2 4
Vigun07g266900,Protein kinase superfamily protein
Vigun03g324500,1-deoxy-D-xylulose 5-phosphate reductoisomerase
Vigun05g082900,Protein of unknown function (DUF3411)
Vigun04g002200,cytidine deaminase 1
Vigun05g164800,SAUR-like auxin-responsive protein family 
Vigun06g235500,Lactoylglutathione lyase / glyoxalase I family protein
Vigun03g113700,no annotation
Vigun05g000200,no annotation
Vigun03g425300,Thioredoxin superfamily protein
Vigun02g072500,UDP-glucosyl transferase 74B1
Vigun07g116500,B-box type zinc finger protein with CCT domain
Vigun03g135400,methyltransferases;nucleic acid binding
Vigun02g192500,12-oxophytodienoate reductase 2
Vigun11g004000,no annotation
Vigun09g115200,plant U-box 26
Vigun01g045000,"Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3"
Vigun06g037000,ATP-dependent caseinolytic (Clp) protease/crotonase family protein
Vigun03g282700,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun03g095800,glutathione S-transferase tau 7
Vigun11g068500,NB-ARC domain-containing disease resistance protein
Vigun10g197300,heat shock protein 70B
Vigun07g025700,fatty acid desaturase 2
Vigun07g038100,Patatin-like phospholipase family protein
Vigun10g030600,Auxin-responsive family protein
Vigun01g238900,S-adenosyl-L-homocysteine hydrolase
Vigun01g028400,no annotation
Vigun03g144300,no annotation
Vigun03g390900,xyloglucan endotransglycosylase 6
Vigun07g144100,Hypoxia-responsive family protein
Vigun11g050200,S-locus lectin protein kinase family protein
Vigun10g162700,no annotation
Vigun11g188300,subtilisin-like serine protease 2
Vigun02g086100,UDP-glucosyl transferase 85A3
Vigun02g179500,no annotation
Vigun01g023800,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun04g105200,Integrase-type DNA-binding superfamily protein
Vigun08g064800,Protein kinase superfamily protein
Vigun01g131600,CBS domain-containing protein with a domain of unknown function (DUF21)
Vigun07g214700,Integrase-type DNA-binding superfamily protein
Vigun05g152600,UDP-Glycosyltransferase superfamily protein
Vigun02g172400,hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase
Vigun02g071100,Transducin/WD40 repeat-like superfamily protein
Vigun01g161100,Cysteine proteinases superfamily protein
Vigun03g361200,Voltage-gated chloride channel family protein
Vigun05g053600,lecithin:cholesterol acyltransferase 3
Vigun09g225200,iron regulated transporter 3
Vigun08g072900,"receptor serine/threonine kinase, putative"
Vigun03g189200,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun11g119000,mitogen-activated protein kinase kinase kinase 18
Vigun04g121200,Oxidoreductase family protein
Vigun06g219100,Chaperone DnaJ-domain superfamily protein
Vigun11g018100,NAD(P)-binding Rossmann-fold superfamily protein
Vigun10g049800,alpha-amylase-like
Vigun11g153700,UDP-XYL synthase 6
Vigun08g016200,no annotation
Vigun01g200400,NAD(P)-binding Rossmann-fold superfamily protein
Vigun07g280900,Pentatricopeptide repeat (PPR) superfamily protein
Vigun02g160600,peptidyl-prolyl cis-trans isomerases
Vigun04g095100,serine carboxypeptidase-like 26
Vigun06g013600,Plant L-ascorbate oxidase
Vigun06g118800,senescence-associated gene 21
Vigun05g027000,O-fucosyltransferase family protein
Vigun05g205200,translocase of outer membrane 22-V
Vigun11g103300,Protein kinase superfamily protein
Vigun06g088300,AMP-dependent synthetase and ligase family protein
Vigun09g178400,no annotation
Vigun08g183300,F-box family protein
Vigun07g058400,AP2/B3-like transcriptional factor family protein
Vigun10g108400,methionine aminopeptidase 1A
Vigun09g118500,amino acid permease 2
Vigun06g156900,RING/U-box superfamily protein
Vigun09g081500,no annotation
Vigun10g150300,Basic helix-loop-helix (bHLH) DNA-binding family protein
Vigun02g119000,aconitase 1
Vigun03g329000,ARM repeat superfamily protein
Vigun10g025800,BAK1-interacting receptor-like kinase 1
Vigun02g191000,PLATZ transcription factor family protein
Vigun03g246600,pinoresinol reductase 1
Vigun05g229000,cellulose synthase-like B3
Vigun05g175400,O-methyltransferase family protein
Vigun06g068800,amino acid permease 7
Vigun02g090700,Basic helix-loop-helix (bHLH) DNA-binding family protein
Vigun08g149300,expansin A4
Vigun03g001200,alpha/beta-Hydrolases superfamily protein
Vigun03g154200,no annotation
Vigun08g185300,no annotation
Vigun11g018900,cystatin B
Vigun04g013700,Enoyl-CoA hydratase/isomerase family
Vigun02g056200,no annotation
Vigun06g078200,"Clathrin, heavy chain"
Vigun01g051700,glutathione S-transferase TAU 19
Vigun02g110400,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun07g293800,no annotation
Vigun11g017500,sulfotransferase 2A
Vigun03g342000,PLC-like phosphodiesterases superfamily protein
Vigun03g401800,RING/FYVE/PHD-type zinc finger family protein
Vigun05g251500,Dof-type zinc finger DNA-binding family protein
Vigun07g068200,C-repeat/DRE binding factor 1
Vigun08g070700,wall associated kinase 3
Vigun07g122600,galacturonosyltransferase-like 7
Vigun02g026500,"Protein of unknown function, DUF617"
Vigun05g155900,SAUR-like auxin-responsive protein family 
Vigun10g139800,Galactose oxidase/kelch repeat superfamily protein
Vigun03g185200,alpha/beta-Hydrolases superfamily protein
Vigun07g113800,endoplasmic reticulum auxin binding protein 1
Vigun06g125300,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun09g232600,Subtilase family protein
Vigun08g128500,no annotation
Vigun01g162100,myb domain protein 36
Vigun10g120200,gamma tonoplast intrinsic protein
Vigun06g199000,ERF domain protein 12
Vigun03g229200,UDP-Glycosyltransferase superfamily protein
Vigun01g039700,no annotation
Vigun02g005700,"mRNA splicing factor, thioredoxin-like U5 snRNP"
Vigun09g010700,phospholipase D P1
Vigun06g214300,Leucine-rich receptor-like protein kinase family protein
Vigun01g036900,6-phosphogluconate dehydrogenase family protein
Vigun01g141000,ARM repeat superfamily protein
Vigun08g135600,cytokinin response factor 4
Vigun10g014000,Paxneb protein-related
Vigun07g111300,Phenazine biosynthesis PhzC/PhzF protein
Vigun07g269700,alpha/beta-Hydrolases superfamily protein
Vigun10g164100,Cox19-like CHCH family protein
Vigun02g074600,nodulin MtN21 /EamA-like transporter family protein
Vigun06g113900,TPX2 (targeting protein for Xklp2) protein family
Vigun06g042700,citrate synthase 2
Vigun05g112100,glutathione S-transferase TAU 8
Vigun06g148500,farnesyl diphosphate synthase 1
Vigun01g141500,HR-like lesion-inducing protein-related
Vigun11g056900,Proteasome component (PCI) domain protein
Vigun02g151500,Translation protein SH3-like family protein
Vigun05g197200,NAC domain containing protein 19
Vigun08g027900,myb domain protein 73
Vigun09g219500,copper transporter 5
Vigun02g079100,Kelch repeat-containing F-box family protein
Vigun03g352400,Protein kinase superfamily protein
Vigun07g205800,alpha/beta-Hydrolases superfamily protein
Vigun02g076200,spermidine synthase 2
Vigun06g069300,Transducin/WD40 repeat-like superfamily protein
Vigun05g057000,Cystathionine beta-synthase (CBS) family protein
Vigun02g196300,Major facilitator superfamily protein
Vigun10g027700,Yippee family putative zinc-binding protein
Vigun05g030600,Mitochondrial substrate carrier family protein
